Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2023,Entity Name,gc_262
Aluminum Corp. of China Ltd.,Asia,China,Distribution Services,Wholesale Distributors,52.60,59.21,42.56,49.40,62.86,3.20,HCL Technologies Ltd.,64.90
"CITIC Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,47.71,55.41,51.24,40.65,57.34,2.10,SBI Life Insurance Co. Ltd.,48.60
Dabur India Ltd.,Asia,India,Consumer Non-Durables,Household/Personal Care,55.98,59.82,56.82,51.58,61.22,4.60,JSW Steel Ltd.,61.02
China Oilfield Services Ltd.,Asia,China,Industrial Services,Contract Drilling,48.34,51.45,42.69,51.46,58.98,3.70,"XPeng, Inc.",57.42
Reliance Industries Ltd.,Asia,India,Energy Minerals,Oil Refining/Marketing,57.73,59.35,54.48,59.62,67.89,5.80,"Huizhou Desay SV Automotive Co., Ltd.",61.42
Axis Bank Ltd.,Asia,India,Finance,Regional Banks,56.61,58.93,56.75,55.46,64.07,5.40,"Unigroup Guoxin Microelectronics Co., Ltd.",53.56
"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,53.93,60.37,54.87,51.76,64.87,5.30,"China Yangtze Power Co., Ltd.",66.60
United Co. RUSAL International PJSC,Europe,Russian Federation,Non-Energy Minerals,Aluminum,56.18,58.73,52.90,54.45,71.20,6.50,The People's Insurance Co. (Group) of China Ltd.,61.39
"China Merchants Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,47.24,50.20,52.35,41.50,53.47,3.20,"Hainan Airlines Holding Co., Ltd.",49.26
HDFC Life Insurance Co. Ltd.,Asia,India,Finance,Multi-Line Insurance,55.94,51.55,57.88,57.17,54.95,4.80,MMC Norilsk Nickel PJSC,61.31
"Sichuan Road & Bridge Co., Ltd.",Asia,China,Industrial Services,Engineering & Construction,45.32,49.63,42.74,41.63,44.04,4.10,China State Construction Engineering Corp. Ltd.,67.44
IndusInd Bank Ltd.,Asia,India,Finance,Major Banks,53.85,56.36,46.76,57.49,65.61,4.20,"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",59.48
"IMEIK Technology Development Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,54.00,60.78,48.04,54.19,58.37,5.20,"Ganfeng Lithium Group Co., Ltd.",65.77
Ambuja Cements Ltd.,Asia,India,Non-Energy Minerals,Construction Materials,60.63,63.96,56.97,55.69,59.40,9.10,Bajaj Auto Ltd.,54.21
Xiaomi Corp.,Asia,China,Electronic Technology,Telecommunications Equipment,53.73,55.30,53.58,52.19,62.21,3.20,Haidilao International Holding Ltd.,56.00
Adani Green Energy Ltd.,Asia,India,Utilities,Electric Utilities,61.87,63.63,58.15,58.09,61.95,5.70,Adani Ports & Special Economic Zone Ltd.,62.95
"Asymchem Laboratories (Tianjin) Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,52.96,54.33,47.54,54.50,61.54,5.60,Oil & Natural Gas Corp. Ltd.,63.40
"Shanghai RAAS Blood Products Co., Ltd.",Asia,China,Health Technology,Biotechnology,43.70,49.29,42.88,42.40,46.78,4.20,"Wuxi Biologics (Cayman), Inc.",64.17
"Bank of Ningbo Co., Ltd.",Asia,China,Finance,Regional Banks,42.27,41.59,40.06,44.07,48.84,2.30,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",48.56
"Huaneng Power International, Inc.",Asia,China,Utilities,Electric Utilities,53.72,61.62,44.55,50.67,61.79,4.70,Tata Consultancy Services Ltd.,65.18
"Jiangsu Hengli Hydraulic Co., Ltd.",Asia,China,Producer Manufacturing,Auto Parts: OEM,44.18,46.13,43.18,41.60,52.71,4.30,"Shanghai International Port (Group) Co., Ltd.",61.31
"China Yangtze Power Co., Ltd.",Asia,China,Utilities,Electric Utilities,46.97,47.65,45.43,47.52,66.60,2.10,TCL Technology Group Corp.,61.48
NOVATEK JSC,Europe,Russian Federation,Energy Minerals,Integrated Oil,58.96,60.88,56.34,59.80,65.77,8.70,Hua Hong Semiconductor Ltd.,66.30
China Railway Group Ltd.,Asia,China,Industrial Services,Engineering & Construction,52.85,60.68,48.35,46.04,59.70,4.20,Centrais Elétricas Brasileiras SA,66.83
Luxshare Precision Industry Co. Ltd.,Asia,China,Electronic Technology,Electronic Components,54.93,55.79,52.20,55.73,69.38,5.60,"Bank of Beijing Co., Ltd.",50.92
Longfor Group Holdings Ltd.,Asia,China,Finance,Real Estate Development,57.23,58.51,58.09,53.60,62.71,5.70,"Advanced Micro Fabrication Equipment, Inc. China",59.46
"Shaanxi Coal Industry Co., Ltd.",Asia,China,Energy Minerals,Coal,45.20,46.55,45.32,43.17,56.18,4.30,Coal India Ltd.,56.44
"Iflytek Co., Ltd.",Asia,China,Technology Services,Information Technology Services,46.07,42.12,39.84,53.07,46.88,2.40,China Railway Construction Corp. Ltd.,66.00
China Southern Airlines Co. Ltd.,Asia,China,Transportation,Airlines,46.73,50.34,43.86,45.24,61.93,3.40,"CITIC Securities Co., Ltd.",57.34
China United Network Communications Ltd.,Asia,China,Communications,Major Telecommunications,46.83,43.14,46.86,50.62,66.03,3.80,"Guangdong Haid Group Co., Ltd.",53.88
"Baidu, Inc.",Asia,China,Technology Services,Internet Software/Services,50.89,54.70,40.02,53.61,55.99,4.60,Hindalco Industries Ltd.,65.82
"Weichai Power Co., Ltd.",Asia,China,Producer Manufacturing,Auto Parts: OEM,54.63,56.23,51.70,53.95,63.50,5.80,"Great Wall Motor Co., Ltd.",55.73
Tata Motors Ltd.,Asia,India,Consumer Durables,Motor Vehicles,59.34,58.56,55.87,62.51,59.33,8.30,"Shanghai Electric Group Co., Ltd.",65.13
"NAURA Technology Group Co., Ltd.",Asia,China,Producer Manufacturing,Industrial Machinery,50.67,51.85,45.70,52.87,61.19,5.30,Siemens Ltd.,69.97
"Will Semiconductor Co., Ltd. Shanghai",Asia,China,Electronic Technology,Semiconductors,48.30,47.23,48.35,50.05,58.99,2.30,Itaú Unibanco Holding SA,68.01
"Shenwan Hongyuan Group Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,50.06,57.25,49.35,46.77,57.28,4.30,"Luzhou Laojiao Co., Ltd.",55.14
China Eastern Airlines Corp. Ltd.,Asia,China,Transportation,Airlines,47.83,51.40,45.43,45.80,58.09,5.20,China Tower Corp. Ltd.,56.68
"Unigroup Guoxin Microelectronics Co., Ltd.",Asia,China,Electronic Technology,Semiconductors,44.81,48.08,40.96,42.06,53.56,4.70,"Sany Heavy Industry Co., Ltd.",62.13
Chongqing Changan Automobile Co. Ltd.,Asia,China,Consumer Durables,Motor Vehicles,50.52,58.70,40.91,45.61,56.17,2.40,"Yum China Holdings, Inc.",70.27
Meituan,Asia,China,Transportation,Air Freight/Couriers,50.08,56.94,49.95,45.00,55.90,4.60,PhosAgro PJSC,67.13
TCL Technology Group Corp.,Asia,China,Electronic Technology,Telecommunications Equipment,46.21,54.45,45.85,37.96,61.48,3.20,Semiconductor Manufacturing International Corp.,60.59
"China Vanke Co., Ltd.",Asia,China,Finance,Real Estate Development,55.46,58.25,46.95,56.49,65.33,4.60,Bajaj Finserv Ltd.,55.18
Petróleo Brasileiro SA,South America,Brazil,Energy Minerals,Integrated Oil,58.57,58.27,56.38,62.53,57.70,7.80,Indian Oil Corp. Ltd.,68.01
"SDIC Power Holdings Co., Ltd.",Asia,China,Utilities,Electric Utilities,52.52,59.79,47.98,45.50,61.35,2.40,Eicher Motors Ltd.,57.46
"Shanghai Pharmaceuticals Holding Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,50.36,58.02,43.65,47.80,57.26,4.30,"China Zheshang Bank Co., Ltd.",62.87
"Yankuang Energy Group Co., Ltd.",Asia,China,Energy Minerals,Coal,52.78,57.71,47.68,49.99,58.24,5.60,"Ping An Bank Co., Ltd.",59.21
Asian Paints Ltd.,Asia,India,Process Industries,Industrial Specialties,60.59,64.66,52.50,60.18,58.74,7.60,Inner Mongolia Baotou Steel Union Co. Ltd.,52.88
"China Galaxy Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,48.88,58.75,49.76,42.77,57.89,4.20,"Industrial Bank Co., Ltd.",62.11
"Shenzhen Transsion Holding Co., Ltd.",Asia,China,Communications,Major Telecommunications,46.81,48.29,42.71,47.73,57.35,3.50,"Yunnan Baiyao Group Co., Ltd.",55.79
China International Capital Corp. Ltd.,Asia,China,Finance,Investment Banks/Brokers,46.80,48.73,43.15,48.69,61.80,4.20,"New China Life Insurance Co., Ltd.",45.84
China Railway Signal & Communication Corp. Ltd.,Asia,China,Electronic Technology,Electronic Equipment/Instruments,48.38,48.55,45.79,49.85,61.32,4.60,LTIMindtree Ltd.,63.22
Nestlé India Ltd.,Asia,India,Consumer Non-Durables,Food: Major Diversified,50.71,49.86,48.90,52.32,58.78,6.50,"Bank of Shanghai Co., Ltd.",61.46
Oil & Natural Gas Corp. Ltd.,Asia,India,Energy Minerals,Oil Refining/Marketing,55.92,56.31,57.10,53.38,63.40,7.50,China Petroleum & Chemical Corp.,57.91
Tech Mahindra Ltd.,Asia,India,Technology Services,Information Technology Services,60.87,63.81,61.37,58.35,66.21,7.80,Ambuja Cements Ltd.,59.40
"China Zheshang Bank Co., Ltd.",Asia,China,Finance,Major Banks,49.35,52.24,49.08,48.21,62.87,4.20,Meituan,55.90
ICICI Bank Ltd.,Asia,India,Finance,Regional Banks,56.86,68.42,57.72,50.97,55.06,6.30,China United Network Communications Ltd.,66.03
"Wuxi Biologics (Cayman), Inc.",Asia,China,Health Technology,Biotechnology,53.34,55.05,52.95,52.99,64.17,5.10,China Railway Signal & Communication Corp. Ltd.,61.32
Novolipetsk Steel,Europe,Russian Federation,Non-Energy Minerals,Steel,59.33,62.51,54.42,57.91,72.34,8.30,WEG SA,64.84
"Chongqing Zhifei Biological Products Co., Ltd.",Asia,China,Health Technology,Biotechnology,47.21,51.13,43.17,47.53,59.43,5.20,"LONGi Green Energy Technology Co., Ltd.",67.73
"Rongsheng Petrochemical Co., Ltd.",Asia,China,Distribution Services,Wholesale Distributors,52.53,61.21,39.96,47.40,62.02,6.30,"Anhui Conch Cement Co., Ltd.",61.58
Havells India Ltd.,Asia,India,Producer Manufacturing,Electrical Products,59.81,60.24,56.56,61.90,63.76,5.90,"Beijing-Shanghai High-Speed Railway Co., Ltd.",48.27
